"","Meta.Data.datapoints","Meta.Data.interval","Meta.Data.ticker","Meta.Data.credit.cost","Meta.Data.Time.Zone","Meta.Data.last.refreshed","Crypto.Historical.Price.date","Crypto.Historical.Price.open","Crypto.Historical.Price.high","Crypto.Historical.Price.low","Crypto.Historical.Price.close","Crypto.Historical.Price.adj_close","Crypto.Historical.Price.volume"
"143",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-18",5567.95,5701.35,5567.95,5615.26,5615.26,233409182
"144",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-17",5586.97,5602.01,5524.7,5568.94,5568.94,164182152
"145",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-16",5647.5,5676.54,5487.87,5586.27,5586.27,397196182
"146",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-15",5740.51,5767.06,5300.75,5647.5,5647.5,820864013
"147",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-14",6339.17,6375.7,5469.93,5741.47,5741.47,1045469380
"148",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-13",6375.08,6389.43,6315.58,6339.17,6339.17,227689745
"149",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-12",6408.18,6435.41,6350.87,6375.08,6375.08,181575610
"150",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-11",6396.39,6414.18,6326.38,6408.18,6408.18,130156001
"151",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-10",6377.99,6419.92,6376.17,6396.37,6396.37,94313328
"152",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-09",6446.06,6457.97,6352.45,6377.99,6377.99,237893036
"153",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-08",6530.94,6542.42,6438.27,6446.06,6446.06,273205386
"154",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-07",6479.72,6562.79,6476.59,6529.68,6529.68,360052788
"155",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-06",6433.53,6482.81,6412.56,6479.72,6479.72,239808254
"156",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-05",6467.05,6475.8,6406.69,6433.74,6433.74,155758902
"157",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-04",6376.55,6498.16,6351.92,6467.05,6467.05,175805188
"158",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-03",6394.65,6398.09,6336.96,6376.32,6376.32,183565304
"159",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-02",6381.3,6420.93,6371.57,6394.66,6394.66,179385606
"160",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-11-01",6342.81,6402.59,6322.6,6381.3,6381.3,199861220
